time,open,high,low,close,volume
2021-09-02 10:45:00,594.5106,595.11,593.56,594.0,39015
2021-09-02 10:50:00,593.99,595.82,593.9,595.565,64646
2021-09-02 10:55:00,595.5967,597.2939,594.9501,596.75,92733
2021-09-02 11:00:00,596.78,597.4272,596.5,596.755,79864
2021-09-02 11:05:00,596.63,596.63,594.65,595.0199,56019
2021-09-02 11:10:00,594.865,595.21,594.1,594.25,45531
2021-09-02 11:15:00,594.13,594.98,594.12,594.9392,33165
2021-09-02 11:20:00,594.96,597.185,594.82,596.8117,62066
2021-09-02 11:25:00,596.885,597.055,596.16,597.029,41424
2021-09-02 11:30:00,597.16,598.49,596.6744,598.4899,84988
2021-09-02 11:35:00,598.48,598.7567,597.51,597.5101,76413
2021-09-02 11:40:00,597.62,597.6599,596.55,596.56,52734
2021-09-02 11:45:00,596.557,596.9784,596.26,596.69,36480
2021-09-02 11:50:00,596.51,597.13,595.73,596.38,53905
2021-09-02 11:55:00,596.2801,596.38,595.5,596.0,46392
2021-09-02 12:00:00,595.905,596.79,595.815,596.62,28046
2021-09-02 12:05:00,596.55,596.92,595.82,595.87,28168
2021-09-02 12:10:00,595.91,596.47,595.62,595.7,25035
2021-09-02 12:15:00,595.78,595.97,594.84,595.085,35272
2021-09-02 12:20:00,595.0252,595.2327,594.18,594.2,42801
2021-09-02 12:25:00,594.2943,594.8399,594.0311,594.23,33026
2021-09-02 12:30:00,594.21,594.21,593.2,593.78,108460
2021-09-02 12:35:00,593.76,595.1399,593.63,594.5,167541
2021-09-02 12:40:00,594.42,594.49,593.71,593.85,69604
2021-09-02 12:45:00,594.03,595.02,593.9101,594.745,48460
2021-09-02 12:50:00,594.695,594.78,593.2201,593.7088,37806
2021-09-02 12:55:00,593.67,593.9,593.135,593.514,36696
2021-09-02 13:00:00,593.3892,593.88,593.3892,593.41,16282
2021-09-02 13:05:00,593.515,594.3227,593.51,594.1409,16682
2021-09-02 13:10:00,594.2,594.43,593.61,593.76,19848
2021-09-02 13:15:00,593.81,593.81,591.91,592.14,60891
